n,time_ms
7330,0.106
7340,0.106
7350,0.134
7360,0.112
7370,0.112
7380,0.110
7390,0.111
7400,0.108
7410,0.112
7420,0.107
7430,0.107
7440,0.116
7450,0.117
7460,0.109
7470,0.107
7480,0.123
7490,0.108
7500,0.109
7510,0.109
7520,0.108
7530,0.109
7540,0.132
7550,0.113
7560,0.116
7570,0.110
7580,0.111
7590,0.112
7600,0.108
7610,0.110
7620,0.111
7630,0.112
7640,0.116
7650,0.120
7660,0.153
7670,0.114
7680,0.122
7690,0.142
7700,0.113
7710,0.111
7720,0.114
7730,0.126
7740,0.116
7750,0.150
7760,0.112
7770,0.121
7780,0.118
7790,0.114
7800,0.117
7810,0.111
7820,0.114
7830,0.126
7840,0.132
7850,0.115
7860,0.112
7870,0.120
7880,0.121
7890,0.114
7900,0.114
7910,0.116
7920,0.120
7930,0.143
7940,0.128
7950,0.114
7960,0.118
7970,0.115
7980,0.114
7990,0.115
8000,0.115
8010,0.115
8020,0.127
8030,0.121
8040,0.116
8050,0.117
8060,0.126
8070,0.114
8080,0.114
8090,0.116
8100,0.115
8110,0.116
8120,0.140
8130,0.120
8140,0.118
8150,0.119
8160,0.120
8170,0.117
8180,0.118
8190,0.116
8200,0.118
8210,0.135
8220,0.201
8230,0.123
8240,0.119
8250,0.120
8260,0.120
8270,0.118
8280,0.116
8290,0.119
8300,0.118
8310,0.118
8320,0.162
8330,0.121
8340,0.144
8350,0.125
8360,0.122
8370,0.119
8380,0.119
8390,0.121
8400,0.119
8410,0.124
8420,0.132
8430,0.119
8440,0.133
8450,0.128
8460,0.119
8470,0.122
8480,0.122
8490,0.117
8500,0.121
8510,0.164
8520,0.131
8530,0.119
8540,0.126
8550,0.185
8560,0.129
8570,0.122
8580,0.123
8590,0.125
8600,0.131
8610,0.158
8620,0.126
8630,0.129
8640,0.130
8650,0.121
8660,0.121
8670,0.124
8680,0.124
8690,0.127
8700,0.130
8710,0.128
8720,0.128
8730,0.130
8740,0.127
8750,0.131
8760,0.123
8770,0.127
8780,0.137
8790,0.129
8800,0.133
8810,0.126
8820,0.136
8830,0.137
8840,0.126
8850,0.127
8860,0.127
8870,0.126
8880,0.130
8890,0.133
8900,0.132
8910,0.127
8920,0.133
8930,0.126
8940,0.128
8950,0.128
8960,0.129
8970,0.131
8980,0.145
8990,0.131
9000,0.128
9010,0.133
9020,0.128
9030,0.129
9040,0.130
9050,0.130
9060,0.134
9070,0.142
9080,0.130
9090,0.128
9100,0.140
9110,0.135
9120,0.128
9130,0.132
9140,0.131
9150,0.138
9160,0.134
9170,0.133
9180,0.132
9190,0.139
9200,0.132
9210,0.133
9220,0.132
9230,0.131
9240,0.149
9250,0.146
9260,0.132
9270,0.136
9280,0.143
9290,0.130
9300,0.130
9310,0.135
9320,0.132
9330,0.143
9340,0.147
9350,0.191
9360,0.140
9370,0.135
9380,0.134
9390,0.136
9400,0.135
9410,0.141
9420,0.152
9430,0.137
9440,0.132
9450,0.138
9460,0.141
9470,0.135
9480,0.138
9490,0.141
9500,0.161
9510,0.139
9520,0.135
9530,0.143
9540,0.157
9550,0.141
9560,0.141
9570,0.137
9580,0.143
9590,0.141
9600,0.137
9610,0.145
9620,0.140
9630,0.139
9640,0.138
9650,0.139
9660,0.136
9670,0.148
9680,0.158
9690,0.141
9700,0.147
9710,0.138
9720,0.138
9730,0.139
9740,0.138
9750,0.136
9760,0.142
9770,0.142
9780,0.140
9790,0.143
9800,0.147
9810,0.138
9820,0.139
9830,0.139
9840,0.143
9850,0.151
9860,0.143
9870,0.143
9880,0.145
9890,0.146
9900,0.139
9910,0.140
9920,0.141
9930,0.159
9940,0.161
9950,0.153
9960,0.141
9970,0.149
9980,0.147
9990,0.146
10000,0.158
